#  lumResponse vers. 1.5b - 05/08/03
#  Display ID: DELL_1900FP_ARQ0
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
93  0.283  #0c0d0d
94  0.283  #0d0d0c
95  0.283  #0d0d0d
96  0.284  #0d0d0e
97  0.284  #0e0d0d
98  0.285  #0e0d0e
99  0.287  #0d0e0d
100  0.288  #0d0e0e
101  0.287  #0e0e0d
102  0.288  #0e0e0e
103  0.288  #0e0e0f
104  0.288  #0f0e0e
105  0.288  #0f0e0f
106  0.288  #0e0f0e
107  0.288  #0e0f0f
108  0.288  #0f0f0e
109  0.288  #0f0f0f
110  0.289  #0f0f10
111  0.289  #100f0f
112  0.29  #100f10
113  0.292  #0f100f
114  0.293  #0f1010
115  0.293  #10100f
116  0.294  #101010
117  0.294  #101011
118  0.293  #111010
119  0.294  #111011
120  0.294  #101110
121  0.294  #101111
122  0.294  #111110
123  0.294  #111111
124  0.295  #111112
125  0.295  #121111
126  0.296  #121112
127  0.299  #111211
128  0.3  #111212
129  0.3  #121211
130  0.301  #121212
131  0.301  #121213
132  0.301  #131212
133  0.301  #131213
134  0.301  #121312
135  0.301  #121313
136  0.301  #131312
137  0.301  #131313
138  0.302  #131314
139  0.302  #141313
140  0.303  #141314
141  0.306  #131413
142  0.307  #131414
143  0.307  #141413
144  0.308  #141414
145  0.31  #141415
146  0.31  #151414
147  0.311  #151415
148  0.315  #141514
149  0.316  #141515
150  0.316  #151514
151  0.317  #151515
152  0.318  #151516
153  0.317  #161515
154  0.317  #161516
155  0.317  #151615
156  0.317  #151616
157  0.317  #161615
158  0.317  #161616
159  0.319  #161617
160  0.319  #171616
161  0.32  #171617
162  0.325  #161716
163  0.326  #161717
164  0.326  #171716
165  0.328  #171717
166  0.329  #171718
167  0.329  #181717
168  0.331  #181718
169  0.336  #171817
170  0.338  #171818
171  0.338  #181817
172  0.339  #181818
173  0.339  #181819
174  0.339  #191818
175  0.339  #191819
176  0.339  #181918
177  0.339  #181919
178  0.339  #191918
179  0.339  #191919
180  0.341  #19191a
181  0.341  #1a1919
182  0.343  #1a191a
183  0.348  #191a19
184  0.35  #191a1a
185  0.351  #1a1a19
186  0.353  #1a1a1a
187  0.353  #1a1a1b
188  0.353  #1b1a1a
189  0.353  #1b1a1b
190  0.353  #1a1b1a
191  0.353  #1a1b1b
192  0.353  #1b1b1a
193  0.353  #1b1b1b
194  0.355  #1b1b1c
195  0.356  #1c1b1b
196  0.358  #1c1b1c
197  0.363  #1b1c1b
198  0.365  #1b1c1c
199  0.366  #1c1c1b
200  0.368  #1c1c1c
201  0.37  #1c1c1d
202  0.371  #1d1c1c
203  0.373  #1d1c1d
204  0.379  #1c1d1c
205  0.381  #1c1d1d
206  0.383  #1d1d1c
207  0.384  #1d1d1d
208  0.384  #1d1d1e
209  0.384  #1e1d1d
210  0.384  #1e1d1e
211  0.384  #1d1e1d
212  0.384  #1d1e1e
213  0.384  #1e1e1d
214  0.384  #1e1e1e
215  0.387  #1e1e1f
216  0.387  #1f1e1e
217  0.39  #1f1e1f
218  0.397  #1e1f1e
219  0.399  #1e1f1f
220  0.4  #1f1f1e
221  0.402  #1f1f1f
222  0.405  #1f1f20
223  0.406  #201f1f
224  0.409  #201f20
225  0.416  #1f201f
226  0.419  #1f2020
227  0.42  #20201f
228  0.423  #202020
229  0.426  #202021
230  0.427  #212020
231  0.43  #212021
232  0.438  #202120
233  0.441  #202121
234  0.442  #212120
235  0.445  #212121
236  0.445  #212122
237  0.445  #222121
238  0.445  #222122
239  0.445  #212221
240  0.445  #212222
241  0.445  #222221
242  0.445  #222222
243  0.448  #222223
244  0.449  #232222
245  0.453  #232223
246  0.461  #222322
247  0.464  #222323
248  0.465  #232322
249  0.468  #232323
250  0.472  #232324
251  0.474  #242323
252  0.477  #242324
253  0.486  #232423
254  0.49  #232424
255  0.491  #242423
256  0.495  #242424
257  0.495  #242425
258  0.495  #252424
259  0.495  #252425
260  0.495  #242524
261  0.495  #242525
262  0.495  #252524
263  0.495  #252525
264  0.499  #252526
265  0.502  #262525
266  0.506  #262526
267  0.514  #252625
268  0.518  #252626
269  0.521  #262625
270  0.525  #262626
271  0.529  #262627
272  0.531  #272626
273  0.535  #272627
274  0.545  #262726
275  0.549  #262727
276  0.551  #272726
277  0.555  #272727
278  0.56  #272728
279  0.561  #282727
280  0.566  #282728
281  0.577  #272827
282  0.582  #272828
283  0.584  #282827
284  0.589  #282828
285  0.589  #282829
286  0.589  #292828
287  0.589  #292829
288  0.589  #282928
289  0.589  #282929
290  0.589  #292928
291  0.589  #292929
292  0.594  #29292a
293  0.596  #2a2929
294  0.601  #2a292a
295  0.614  #292a29
296  0.619  #292a2a
297  0.621  #2a2a29
298  0.626  #2a2a2a
299  0.632  #2a2a2b
300  0.634  #2b2a2a
301  0.639  #2b2a2b
302  0.653  #2a2b2a
303  0.658  #2a2b2b
304  0.661  #2b2b2a
305  0.667  #2b2b2b
306  0.673  #2b2b2c
307  0.675  #2c2b2b
308  0.681  #2c2b2c
309  0.696  #2b2c2b
310  0.703  #2b2c2c
311  0.705  #2c2c2b
312  0.711  #2c2c2c
313  0.712  #2c2c2d
314  0.712  #2d2c2c
315  0.712  #2d2c2d
316  0.712  #2c2d2c
317  0.711  #2c2d2d
318  0.712  #2d2d2c
319  0.712  #2d2d2d
320  0.718  #2d2d2e
321  0.721  #2e2d2d
322  0.728  #2e2d2e
323  0.745  #2d2e2d
324  0.752  #2d2e2e
325  0.755  #2e2e2d
326  0.761  #2e2e2e
327  0.768  #2e2e2f
328  0.774  #2f2e2e
329  0.782  #2f2e2f
330  0.796  #2e2f2e
331  0.804  #2e2f2f
332  0.81  #2f2f2e
333  0.818  #2f2f2f
334  0.824  #2f2f30
335  0.829  #302f2f
336  0.835  #302f30
337  0.857  #2f302f
338  0.863  #2f3030
339  0.868  #30302f
340  0.875  #303030
341  0.875  #303031
342  0.875  #313030
343  0.875  #313031
344  0.875  #303130
345  0.875  #303131
346  0.875  #313130
347  0.875  #313131
348  0.884  #313132
349  0.889  #323131
350  0.897  #323132
351  0.918  #313231
352  0.927  #313232
353  0.932  #323231
354  0.941  #323232
355  0.949  #323233
356  0.954  #333232
357  0.963  #333233
358  0.988  #323332
359  0.997  #323333
360  1.003  #333332
361  1.01  #333333
362  1.019  #333334
363  1.026  #343333
364  1.035  #343334
365  1.053  #333433
366  1.062  #333434
367  1.069  #343433
368  1.077  #343434
369  1.087  #343435
370  1.095  #353434
371  1.104  #353435
372  1.126  #343534
373  1.135  #343535
374  1.143  #353534
375  1.152  #353535
376  1.153  #353536
377  1.152  #363535
378  1.152  #363536
379  1.153  #353635
380  1.153  #353636
381  1.153  #363635
382  1.153  #363636
383  1.163  #363637
384  1.176  #373636
385  1.186  #373637
386  1.203  #363736
387  1.212  #363737
388  1.225  #373736
389  1.236  #373737
390  1.243  #373738
391  1.253  #383737
392  1.261  #383738
393  1.29  #373837
394  1.298  #373838
395  1.307  #383837
396  1.315  #383838
397  1.326  #383839
398  1.334  #393838
399  1.345  #393839
400  1.372  #383938
401  1.383  #383939
402  1.391  #393938
403  1.403  #393939
404  1.415  #39393a
405  1.422  #3a3939
406  1.434  #3a393a
407  1.463  #393a39
408  1.476  #393a3a
409  1.483  #3a3a39
410  1.495  #3a3a3a
411  1.496  #3a3a3b
412  1.496  #3b3a3a
413  1.496  #3b3a3b
414  1.497  #3a3b3a
415  1.496  #3a3b3b
416  1.496  #3b3b3a
417  1.497  #3b3b3b
418  1.51  #3b3b3c
419  1.518  #3c3b3b
420  1.531  #3c3b3c
421  1.562  #3b3c3b
422  1.575  #3b3c3c
423  1.583  #3c3c3b
424  1.59  #3c3c3c
425  1.6  #3c3c3d
426  1.61  #3d3c3c
427  1.63  #3d3c3d
428  1.66  #3c3d3c
429  1.68  #3c3d3d
430  1.69  #3d3d3c
431  1.7  #3d3d3d
432  1.71  #3d3d3e
433  1.72  #3e3d3d
434  1.74  #3e3d3e
435  1.77  #3d3e3d
436  1.79  #3d3e3e
437  1.8  #3e3e3d
438  1.81  #3e3e3e
439  1.83  #3e3e3f
440  1.84  #3f3e3e
441  1.86  #3f3e3f
442  1.9  #3e3f3e
443  1.91  #3e3f3f
444  1.93  #3f3f3e
445  1.94  #3f3f3f
446  1.96  #3f3f40
447  1.97  #403f3f
448  1.99  #403f40
449  2.03  #3f403f
450  2.04  #3f4040
451  2.06  #40403f
452  2.07  #404040
453  2.09  #404041
454  2.1  #414040
455  2.12  #414041
456  2.17  #404140
457  2.19  #404141
458  2.2  #414140
459  2.22  #414141
460  2.22  #414142
461  2.22  #424141
462  2.22  #424142
463  2.22  #414241
464  2.22  #414242
465  2.22  #424241
466  2.22  #424242
467  2.24  #424243
468  2.25  #434242
469  2.27  #434243
470  2.32  #424342
471  2.34  #424343
472  2.35  #434342
473  2.37  #434343
474  2.39  #434344
475  2.41  #444343
476  2.43  #444344
477  2.48  #434443
478  2.5  #434444
479  2.52  #444443
480  2.54  #444444
481  2.56  #444445
482  2.58  #454444
483  2.6  #454445
484  2.65  #444544
485  2.67  #444545
486  2.69  #454544
487  2.71  #454545
488  2.73  #454546
489  2.75  #464545
490  2.77  #464546
491  2.83  #454645
492  2.85  #454646
493  2.87  #464645
494  2.89  #464646
495  2.92  #464647
496  2.94  #474646
497  2.97  #474647
498  3.02  #464746
499  3.05  #464747
500  3.07  #474746
501  3.1  #474747
502  3.12  #474748
503  3.14  #484747
504  3.16  #484748
505  3.23  #474847
506  3.25  #474848
507  3.27  #484847
508  3.29  #484848
509  3.32  #484849
510  3.34  #494848
511  3.36  #494849
512  3.43  #484948
513  3.45  #484949
514  3.48  #494948
515  3.5  #494949
516  3.5  #49494a
517  3.5  #4a4949
518  3.5  #4a494a
519  3.5  #494a49
520  3.5  #494a4a
521  3.5  #4a4a49
522  3.5  #4a4a4a
523  3.53  #4a4a4b
524  3.55  #4b4a4a
525  3.58  #4b4a4b
526  3.65  #4a4b4a
527  3.68  #4a4b4b
528  3.7  #4b4b4a
529  3.73  #4b4b4b
530  3.76  #4b4b4c
531  3.78  #4c4b4b
532  3.81  #4c4b4c
533  3.88  #4b4c4b
534  3.91  #4b4c4c
535  3.93  #4c4c4b
536  3.96  #4c4c4c
537  3.99  #4c4c4d
538  4.01  #4d4c4c
539  4.04  #4d4c4d
540  4.11  #4c4d4c
541  4.14  #4c4d4d
542  4.16  #4d4d4c
543  4.19  #4d4d4d
544  4.22  #4d4d4e
545  4.26  #4e4d4d
546  4.29  #4e4d4e
547  4.35  #4d4e4d
548  4.38  #4d4e4e
549  4.42  #4e4e4d
550  4.45  #4e4e4e
551  4.48  #4e4e4f
552  4.51  #4f4e4e
553  4.53  #4f4e4f
554  4.62  #4e4f4e
555  4.65  #4e4f4f
556  4.68  #4f4f4e
557  4.7  #4f4f4f
558  4.74  #4f4f50
559  4.76  #504f4f
560  4.8  #504f50
561  4.88  #4f504f
562  4.91  #4f5050
563  4.94  #50504f
564  4.97  #505050
565  5.0  #505051
566  5.03  #515050
567  5.06  #515051
568  5.16  #505150
569  5.19  #505151
570  5.22  #515150
571  5.26  #515151
572  5.29  #515152
573  5.32  #525151
574  5.35  #525152
575  5.44  #515251
576  5.47  #515252
577  5.51  #525251
578  5.54  #525252
579  5.58  #525253
580  5.61  #535252
581  5.64  #535253
582  5.74  #525352
583  5.77  #525353
584  5.81  #535352
585  5.84  #535353
586  5.88  #535354
587  5.91  #545353
588  5.95  #545354
589  6.04  #535453
590  6.08  #535454
591  6.12  #545453
592  6.15  #545454
593  6.15  #545455
594  6.15  #555454
595  6.15  #555455
596  6.15  #545554
597  6.16  #545555
598  6.15  #555554
599  6.16  #555555
600  6.19  #555556
601  6.25  #565555
602  6.29  #565556
603  6.36  #555655
604  6.4  #555656
605  6.45  #565655
606  6.49  #565656
607  6.52  #565657
608  6.57  #575656
609  6.59  #575657
610  6.7  #565756
611  6.73  #565757
612  6.77  #575756
613  6.8  #575757
614  6.84  #575758
615  6.87  #585757
616  6.91  #585758
617  7.02  #575857
618  7.06  #575858
619  7.1  #585857
620  7.14  #585858
621  7.18  #585859
622  7.22  #595858
623  7.25  #595859
624  7.34  #585958
625  7.38  #585959
626  7.42  #595958
627  7.46  #595959
628  7.5  #59595a
629  7.54  #5a5959
630  7.58  #5a595a
631  7.67  #595a59
632  7.71  #595a5a
633  7.75  #5a5a59
634  7.79  #5a5a5a
635  7.83  #5a5a5b
636  7.86  #5b5a5a
637  7.9  #5b5a5b
638  8.0  #5a5b5a
639  8.05  #5a5b5b
640  8.08  #5b5b5a
641  8.12  #5b5b5b
642  8.16  #5b5b5c
643  8.2  #5c5b5b
644  8.24  #5c5b5c
645  8.35  #5b5c5b
646  8.39  #5b5c5c
647  8.42  #5c5c5b
648  8.47  #5c5c5c
649  8.51  #5c5c5d
650  8.57  #5d5c5c
651  8.61  #5d5c5d
652  8.69  #5c5d5c
653  8.74  #5c5d5d
654  8.79  #5d5d5c
655  8.83  #5d5d5d
656  8.87  #5d5d5e
657  8.92  #5e5d5d
658  8.95  #5e5d5e
659  9.08  #5d5e5d
660  9.11  #5d5e5e
661  9.16  #5e5e5d
662  9.19  #5e5e5e
663  9.24  #5e5e5f
664  9.28  #5f5e5e
665  9.32  #5f5e5f
666  9.43  #5e5f5e
667  9.47  #5e5f5f
668  9.51  #5f5f5e
669  9.56  #5f5f5f
670  9.6  #5f5f60
671  9.64  #605f5f
672  9.69  #605f60
673  9.8  #5f605f
674  9.85  #5f6060
675  9.89  #60605f
676  9.94  #606060
677  9.98  #606061
678  10.02  #616060
679  10.07  #616061
680  10.19  #606160
681  10.24  #606161
682  10.28  #616160
683  10.32  #616161
684  10.37  #616162
685  10.41  #626161
686  10.46  #626162
687  10.58  #616261
688  10.63  #616262
689  10.68  #626261
690  10.72  #626262
691  10.77  #626263
692  10.84  #636262
693  10.89  #636263
694  10.97  #626362
695  11.02  #626363
696  11.09  #636362
697  11.13  #636363
698  11.17  #636364
699  11.22  #646363
700  11.26  #646364
701  11.4  #636463
702  11.43  #636464
703  11.49  #646463
704  11.52  #646464
705  11.57  #646465
706  11.61  #656464
707  11.66  #656465
708  11.78  #646564
709  11.83  #646565
710  11.87  #656564
711  11.92  #656565
712  11.97  #656566
713  12.01  #666565
714  12.06  #666566
715  12.18  #656665
716  12.23  #656666
717  12.28  #666665
718  12.32  #666666
719  12.37  #666667
720  12.42  #676666
721  12.46  #676667
722  12.59  #666766
723  12.64  #666767
724  12.68  #676766
725  12.73  #676767
726  12.78  #676768
727  12.83  #686767
728  12.88  #686768
729  13.01  #676867
730  13.06  #676868
731  13.11  #686867
732  13.16  #686868
733  13.21  #686869
734  13.25  #696868
735  13.31  #696869
736  13.43  #686968
737  13.48  #686969
738  13.53  #696968
739  13.58  #696969
740  13.64  #69696a
741  13.71  #6a6969
742  13.76  #6a696a
743  13.88  #696a69
744  13.93  #696a6a
745  14.0  #6a6a69
746  14.05  #6a6a6a
747  14.09  #6a6a6b
748  14.16  #6b6a6a
749  14.2  #6b6a6b
750  14.34  #6a6b6a
751  14.38  #6a6b6b
752  14.45  #6b6b6a
753  14.48  #6b6b6b
754  14.54  #6b6b6c
755  14.58  #6c6b6b
756  14.64  #6c6b6c
757  14.78  #6b6c6b
758  14.83  #6b6c6c
759  14.88  #6c6c6b
760  14.93  #6c6c6c
761  14.98  #6c6c6d
762  15.03  #6d6c6c
763  15.09  #6d6c6d
764  15.23  #6c6d6c
765  15.28  #6c6d6d
766  15.33  #6d6d6c
767  15.39  #6d6d6d
768  15.44  #6d6d6e
769  15.49  #6e6d6d
770  15.54  #6e6d6e
771  15.69  #6d6e6d
772  15.75  #6d6e6e
773  15.8  #6e6e6d
774  15.8  #6e6e6e
775  15.9  #6e6e6f
776  15.9  #6f6e6e
777  16.0  #6f6e6f
778  16.1  #6e6f6e
779  16.2  #6e6f6f
780  16.2  #6f6f6e
781  16.3  #6f6f6f
782  16.3  #6f6f70
783  16.4  #706f6f
784  16.4  #706f70
785  16.6  #6f706f
786  16.7  #6f7070
787  16.7  #70706f
788  16.8  #707070
789  16.8  #707071
790  16.9  #717070
791  17.0  #717071
792  17.1  #707170
793  17.1  #707171
794  17.2  #717170
795  17.3  #717171
796  17.3  #717172
797  17.4  #727171
798  17.4  #727172
799  17.6  #717271
800  17.6  #717272
801  17.7  #727271
802  17.7  #727272
803  17.8  #727273
804  17.9  #737272
805  17.9  #737273
806  18.1  #727372
807  18.1  #727373
808  18.2  #737372
809  18.3  #737373
810  18.3  #737374
811  18.4  #747373
812  18.4  #747374
813  18.6  #737473
814  18.6  #737474
815  18.7  #747473
816  18.8  #747474
817  18.8  #747475
818  18.9  #757474
819  18.9  #757475
820  19.1  #747574
821  19.2  #747575
822  19.2  #757574
823  19.3  #757575
824  19.3  #757576
825  19.4  #767575
826  19.5  #767576
827  19.6  #757675
828  19.7  #757676
829  19.7  #767675
830  19.8  #767676
831  19.9  #767677
832  20.0  #777676
833  20.0  #777677
834  20.1  #767776
835  20.2  #767777
836  20.3  #777776
837  20.4  #777777
838  20.4  #777778
839  20.5  #787777
840  20.5  #787778
841  20.7  #777877
842  20.8  #777878
843  20.9  #787877
844  20.9  #787878
845  21.0  #787879
846  21.0  #797878
847  21.1  #797879
848  21.3  #787978
849  21.3  #787979
850  21.4  #797978
851  21.5  #797979
852  21.5  #79797a
853  21.6  #7a7979
854  21.7  #7a797a
855  21.8  #797a79
856  21.9  #797a7a
857  22.0  #7a7a79
858  22.0  #7a7a7a
859  22.1  #7a7a7b
860  22.2  #7b7a7a
861  22.2  #7b7a7b
862  22.4  #7a7b7a
863  22.5  #7a7b7b
864  22.6  #7b7b7a
865  22.6  #7b7b7b
866  22.7  #7b7b7c
867  22.8  #7c7b7b
868  22.9  #7c7b7c
869  23.1  #7b7c7b
870  23.1  #7b7c7c
871  23.2  #7c7c7b
872  23.3  #7c7c7c
873  23.3  #7c7c7d
874  23.4  #7d7c7c
875  23.5  #7d7c7d
876  23.7  #7c7d7c
877  23.7  #7c7d7d
878  23.8  #7d7d7c
879  23.9  #7d7d7d
880  23.8  #7d7d7e
881  23.8  #7e7d7d
882  23.9  #7e7d7e
883  24.1  #7d7e7d
884  24.1  #7d7e7e
885  24.2  #7e7e7d
886  24.3  #7e7e7e
887  24.4  #7e7e7f
888  24.5  #7f7e7e
889  24.5  #7f7e7f
890  24.7  #7e7f7e
891  24.8  #7e7f7f
892  24.9  #7f7f7e
893  24.9  #7f7f7f
894  25.0  #7f7f80
895  25.1  #807f7f
896  25.1  #807f80
897  25.3  #7f807f
898  25.4  #7f8080
899  25.5  #80807f
900  25.5  #808080
901  25.6  #808081
902  25.7  #818080
903  25.8  #818081
904  25.9  #808180
905  26.0  #808181
906  26.1  #818180
907  26.1  #818181
908  26.2  #818182
909  26.3  #828181
910  26.4  #828182
911  26.6  #818281
912  26.7  #818282
913  26.7  #828281
914  26.8  #828282
915  26.9  #828283
916  27.1  #838282
917  27.3  #838283
918  27.6  #828382
919  27.8  #828383
920  27.9  #838382
921  28.1  #838383
922  28.1  #838384
923  28.3  #848383
924  28.3  #848384
925  28.5  #838483
926  28.6  #838484
927  28.7  #848483
928  28.8  #848484
929  28.8  #848485
930  28.9  #858484
931  29.0  #858485
932  29.2  #848584
933  29.3  #848585
934  29.4  #858584
935  29.4  #858585
936  29.5  #858586
937  29.6  #868585
938  29.6  #868586
939  29.9  #858685
940  29.9  #858686
941  30.0  #868685
942  30.1  #868686
943  30.1  #868687
944  30.2  #878686
945  30.3  #878687
946  30.5  #868786
947  30.6  #868787
948  30.7  #878786
949  30.8  #878787
950  30.8  #878788
951  30.9  #888787
952  31.0  #888788
953  31.2  #878887
954  31.3  #878888
955  31.3  #888887
956  31.4  #888888
957  31.5  #888889
958  31.6  #898888
959  31.7  #898889
960  31.9  #888988
961  32.0  #888989
962  32.0  #898988
963  32.1  #898989
964  32.2  #89898a
965  32.3  #8a8989
966  32.4  #8a898a
967  32.6  #898a89
968  32.7  #898a8a
969  32.8  #8a8a89
970  32.9  #8a8a8a
971  32.9  #8a8a8b
972  33.1  #8b8a8a
973  33.1  #8b8a8b
974  33.4  #8a8b8a
975  33.4  #8a8b8b
976  33.5  #8b8b8a
977  33.6  #8b8b8b
978  33.7  #8b8b8c
979  33.8  #8c8b8b
980  33.9  #8c8b8c
981  34.1  #8b8c8b
982  34.2  #8b8c8c
983  34.2  #8c8c8b
984  34.3  #8c8c8c
985  34.4  #8c8c8d
986  34.5  #8d8c8c
987  34.6  #8d8c8d
988  34.8  #8c8d8c
989  34.9  #8c8d8d
990  35.0  #8d8d8c
991  35.1  #8d8d8d
992  35.2  #8d8d8e
993  35.3  #8e8d8d
994  35.4  #8e8d8e
995  35.6  #8d8e8d
996  35.7  #8d8e8e
997  35.8  #8e8e8d
998  35.8  #8e8e8e
999  36.0  #8e8e8f
1000  36.2  #8f8e8e
1001  36.4  #8f8e8f
1002  36.8  #8e8f8e
1003  37.0  #8e8f8f
1004  37.2  #8f8f8e
1005  37.4  #8f8f8f
1006  37.4  #8f8f90
1007  37.6  #908f8f
1008  37.7  #908f90
1009  37.9  #8f908f
1010  38.0  #8f9090
1011  38.1  #90908f
1012  38.2  #909090
1013  38.2  #909091
1014  38.4  #919090
1015  38.4  #919091
1016  38.7  #909190
1017  38.8  #909191
1018  38.9  #919190
1019  39.0  #919191
1020  39.0  #919192
1021  39.1  #929191
1022  39.2  #929192
1023  39.5  #919291
1024  39.6  #919292
1025  39.7  #929291
1026  39.8  #929292
1027  39.9  #929293
1028  40.0  #939292
1029  40.1  #939293
1030  40.3  #929392
1031  40.4  #929393
1032  40.5  #939392
1033  40.6  #939393
1034  40.7  #939394
1035  40.8  #949393
1036  40.9  #949394
1037  41.1  #939493
1038  41.2  #939494
1039  41.4  #949493
1040  41.4  #949494
1041  41.6  #949495
1042  41.6  #959494
1043  41.7  #959495
1044  42.0  #949594
1045  42.1  #949595
1046  42.2  #959594
1047  42.3  #959595
1048  42.4  #959596
1049  42.5  #969595
1050  42.5  #969596
1051  42.8  #959695
1052  42.9  #959696
1053  43.0  #969695
1054  43.1  #969696
1055  43.2  #969697
1056  43.3  #979696
1057  43.5  #979697
1058  43.6  #969796
1059  43.7  #969797
1060  43.9  #979796
1061  44.0  #979797
1062  44.1  #979798
1063  44.2  #989797
1064  44.3  #989798
1065  44.6  #979897
1066  44.6  #979898
1067  44.8  #989897
1068  44.9  #989898
1069  45.0  #989899
1070  45.3  #999898
1071  45.5  #999899
1072  46.0  #989998
1073  46.2  #989999
1074  46.4  #999998
1075  46.6  #999999
1076  46.7  #99999a
1077  46.8  #9a9999
1078  46.9  #9a999a
1079  47.2  #999a99
1080  47.3  #999a9a
1081  47.4  #9a9a99
1082  47.5  #9a9a9a
1083  47.6  #9a9a9b
1084  47.7  #9b9a9a
1085  47.8  #9b9a9b
1086  48.1  #9a9b9a
1087  48.3  #9a9b9b
1088  48.4  #9b9b9a
1089  48.5  #9b9b9b
1090  48.6  #9b9b9c
1091  48.7  #9c9b9b
1092  48.9  #9c9b9c
1093  49.1  #9b9c9b
1094  49.2  #9b9c9c
1095  49.4  #9c9c9b
1096  49.5  #9c9c9c
1097  49.6  #9c9c9d
1098  49.7  #9d9c9c
1099  49.7  #9d9c9d
1100  50.1  #9c9d9c
1101  50.2  #9c9d9d
1102  50.3  #9d9d9c
1103  50.4  #9d9d9d
1104  50.5  #9d9d9e
1105  50.6  #9e9d9d
1106  50.7  #9e9d9e
1107  51.0  #9d9e9d
1108  51.1  #9d9e9e
1109  51.2  #9e9e9d
1110  51.2  #9e9e9e
1111  51.2  #9e9e9f
1112  51.4  #9f9e9e
1113  51.8  #9f9e9f
1114  52.1  #9e9f9e
1115  52.2  #9e9f9f
1116  52.3  #9f9f9e
1117  52.4  #9f9f9f
1118  52.5  #9f9fa0
1119  52.6  #a09f9f
1120  52.8  #a09fa0
1121  53.1  #9fa09f
1122  53.2  #9fa0a0
1123  53.3  #a0a09f
1124  53.4  #a0a0a0
1125  53.6  #a0a0a1
1126  53.9  #a1a0a0
1127  54.1  #a1a0a1
1128  54.7  #a0a1a0
1129  54.9  #a0a1a1
1130  55.2  #a1a1a0
1131  55.4  #a1a1a1
1132  55.5  #a1a1a2
1133  55.7  #a2a1a1
1134  55.8  #a2a1a2
1135  56.1  #a1a2a1
1136  56.2  #a1a2a2
1137  56.4  #a2a2a1
1138  56.5  #a2a2a2
1139  56.6  #a2a2a3
1140  56.7  #a3a2a2
1141  56.8  #a3a2a3
1142  57.2  #a2a3a2
1143  57.2  #a2a3a3
1144  57.4  #a3a3a2
1145  57.5  #a3a3a3
1146  57.6  #a3a3a4
1147  57.7  #a4a3a3
1148  57.8  #a4a3a4
1149  58.2  #a3a4a3
1150  58.3  #a3a4a4
1151  58.4  #a4a4a3
1152  58.5  #a4a4a4
1153  58.6  #a4a4a5
1154  58.8  #a5a4a4
1155  58.9  #a5a4a5
1156  59.2  #a4a5a4
1157  59.3  #a4a5a5
1158  59.4  #a5a5a4
1159  59.6  #a5a5a5
1160  59.7  #a5a5a6
1161  59.8  #a6a5a5
1162  59.9  #a6a5a6
1163  60.3  #a5a6a5
1164  60.4  #a5a6a6
1165  60.5  #a6a6a5
1166  60.6  #a6a6a6
1167  60.7  #a6a6a7
1168  60.9  #a7a6a6
1169  61.0  #a7a6a7
1170  61.3  #a6a7a6
1171  61.4  #a6a7a7
1172  61.6  #a7a7a6
1173  61.7  #a7a7a7
1174  61.9  #a7a7a8
1175  62.3  #a8a7a7
1176  62.5  #a8a7a8
1177  63.1  #a7a8a7
