#  lumResponse vers. 1.5b - 04/29/03
#  Display ID: DELL_1900FP_AQCB
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
185  0.469  #1a1a19
186  0.47  #1a1a1a
187  0.47  #1a1a1b
188  0.47  #1b1a1a
189  0.47  #1b1a1b
190  0.47  #1a1b1a
191  0.47  #1a1b1b
192  0.47  #1b1b1a
193  0.47  #1b1b1b
194  0.472  #1b1b1c
195  0.474  #1c1b1b
196  0.475  #1c1b1c
197  0.479  #1b1c1b
198  0.481  #1b1c1c
199  0.482  #1c1c1b
200  0.484  #1c1c1c
201  0.485  #1c1c1d
202  0.487  #1d1c1c
203  0.488  #1d1c1d
204  0.493  #1c1d1c
205  0.494  #1c1d1d
206  0.496  #1d1d1c
207  0.497  #1d1d1d
208  0.497  #1d1d1e
209  0.497  #1e1d1d
210  0.497  #1e1d1e
211  0.497  #1d1e1d
212  0.498  #1d1e1e
213  0.498  #1e1e1d
214  0.498  #1e1e1e
215  0.5  #1e1e1f
216  0.5  #1f1e1e
217  0.502  #1f1e1f
218  0.507  #1e1f1e
219  0.509  #1e1f1f
220  0.51  #1f1f1e
221  0.512  #1f1f1f
222  0.514  #1f1f20
223  0.516  #201f1f
224  0.517  #201f20
225  0.523  #1f201f
226  0.525  #1f2020
227  0.526  #20201f
228  0.528  #202020
229  0.53  #202021
230  0.532  #212020
231  0.534  #212021
232  0.54  #202120
233  0.542  #202121
234  0.544  #212120
235  0.546  #212121
236  0.546  #212122
237  0.545  #222121
238  0.545  #222122
239  0.546  #212221
240  0.546  #212222
241  0.546  #222221
242  0.546  #222222
243  0.548  #222223
244  0.549  #232222
245  0.552  #232223
246  0.558  #222322
247  0.56  #222323
248  0.562  #232322
249  0.564  #232323
250  0.566  #232324
251  0.568  #242323
252  0.57  #242324
253  0.577  #232423
254  0.579  #232424
255  0.581  #242423
256  0.583  #242424
257  0.583  #242425
258  0.584  #252424
259  0.583  #252425
260  0.584  #242524
261  0.584  #242525
262  0.584  #252524
263  0.584  #252525
264  0.586  #252526
265  0.59  #262525
266  0.592  #262526
267  0.598  #252625
268  0.6  #252626
269  0.603  #262625
270  0.606  #262626
271  0.608  #262627
272  0.611  #272626
273  0.613  #272627
274  0.621  #262726
275  0.623  #262727
276  0.626  #272726
277  0.628  #272727
278  0.631  #272728
279  0.633  #282727
280  0.636  #282728
281  0.644  #272827
282  0.647  #272828
283  0.649  #282827
284  0.652  #282828
285  0.652  #282829
286  0.652  #292828
287  0.652  #292829
288  0.652  #282928
289  0.652  #282929
290  0.652  #292928
291  0.652  #292929
292  0.655  #29292a
293  0.658  #2a2929
294  0.66  #2a292a
295  0.669  #292a29
296  0.672  #292a2a
297  0.675  #2a2a29
298  0.677  #2a2a2a
299  0.68  #2a2a2b
300  0.683  #2b2a2a
301  0.686  #2b2a2b
302  0.696  #2a2b2a
303  0.699  #2a2b2b
304  0.701  #2b2b2a
305  0.704  #2b2b2b
306  0.707  #2b2b2c
307  0.71  #2c2b2b
308  0.714  #2c2b2c
309  0.723  #2b2c2b
310  0.727  #2b2c2c
311  0.729  #2c2c2b
312  0.732  #2c2c2c
313  0.732  #2c2c2d
314  0.735  #2d2c2c
315  0.732  #2d2c2d
316  0.733  #2c2d2c
317  0.733  #2c2d2d
318  0.733  #2d2d2c
319  0.733  #2d2d2d
320  0.737  #2d2d2e
321  0.74  #2e2d2d
322  0.743  #2e2d2e
323  0.753  #2d2e2d
324  0.757  #2d2e2e
325  0.759  #2e2e2d
326  0.764  #2e2e2e
327  0.766  #2e2e2f
328  0.772  #2f2e2e
329  0.775  #2f2e2f
330  0.784  #2e2f2e
331  0.788  #2e2f2f
332  0.793  #2f2f2e
333  0.796  #2f2f2f
334  0.799  #2f2f30
335  0.803  #302f2f
336  0.806  #302f30
337  0.818  #2f302f
338  0.821  #2f3030
339  0.826  #30302f
340  0.829  #303030
341  0.828  #303031
342  0.828  #313030
343  0.829  #313031
344  0.829  #303130
345  0.829  #303131
346  0.828  #313130
347  0.829  #313131
348  0.832  #313132
349  0.836  #323131
350  0.84  #323132
351  0.852  #313231
352  0.856  #313232
353  0.86  #323231
354  0.864  #323232
355  0.868  #323233
356  0.872  #333232
357  0.876  #333233
358  0.889  #323332
359  0.893  #323333
360  0.898  #333332
361  0.902  #333333
362  0.906  #333334
363  0.91  #343333
364  0.914  #343334
365  0.925  #333433
366  0.929  #333434
367  0.934  #343433
368  0.938  #343434
369  0.942  #343435
370  0.947  #353434
371  0.951  #353435
372  0.962  #343534
373  0.967  #343535
374  0.972  #353534
375  0.976  #353535
376  0.977  #353536
377  0.977  #363535
378  0.977  #363536
379  0.977  #353635
380  0.977  #353636
381  0.977  #363635
382  0.977  #363636
383  0.982  #363637
384  0.99  #373636
385  0.994  #373637
386  1.004  #363736
387  1.009  #363737
388  1.016  #373736
389  1.021  #373737
390  1.024  #373738
391  1.03  #383737
392  1.033  #383738
393  1.048  #373837
394  1.052  #373838
395  1.058  #383837
396  1.061  #383838
397  1.066  #383839
398  1.071  #393838
399  1.076  #393839
400  1.088  #383938
401  1.092  #383939
402  1.098  #393938
403  1.103  #393939
404  1.108  #39393a
405  1.113  #3a3939
406  1.119  #3a393a
407  1.135  #393a39
408  1.141  #393a3a
409  1.146  #3a3a39
410  1.151  #3a3a3a
411  1.152  #3a3a3b
412  1.152  #3b3a3a
413  1.152  #3b3a3b
414  1.152  #3a3b3a
415  1.152  #3a3b3b
416  1.152  #3b3b3a
417  1.152  #3b3b3b
418  1.158  #3b3b3c
419  1.163  #3c3b3b
420  1.169  #3c3b3c
421  1.186  #3b3c3b
422  1.192  #3b3c3c
423  1.197  #3c3c3b
424  1.203  #3c3c3c
425  1.209  #3c3c3d
426  1.213  #3d3c3c
427  1.22  #3d3c3d
428  1.238  #3c3d3c
429  1.244  #3c3d3d
430  1.249  #3d3d3c
431  1.256  #3d3d3d
432  1.263  #3d3d3e
433  1.269  #3e3d3d
434  1.276  #3e3d3e
435  1.295  #3d3e3d
436  1.302  #3d3e3e
437  1.308  #3e3e3d
438  1.316  #3e3e3e
439  1.323  #3e3e3f
440  1.332  #3f3e3e
441  1.34  #3f3e3f
442  1.358  #3e3f3e
443  1.365  #3e3f3f
444  1.374  #3f3f3e
445  1.381  #3f3f3f
446  1.387  #3f3f40
447  1.396  #403f3f
448  1.402  #403f40
449  1.427  #3f403f
450  1.434  #3f4040
451  1.442  #40403f
452  1.448  #404040
453  1.457  #404041
454  1.464  #414040
455  1.473  #414041
456  1.499  #404140
457  1.508  #404141
458  1.516  #414140
459  1.524  #414141
460  1.524  #414142
461  1.523  #424141
462  1.524  #424142
463  1.524  #414241
464  1.524  #414242
465  1.524  #424241
466  1.524  #424242
467  1.533  #424243
468  1.541  #434242
469  1.55  #434243
470  1.579  #424342
471  1.58  #424343
472  1.59  #434342
473  1.6  #434343
474  1.61  #434344
475  1.62  #444343
476  1.63  #444344
477  1.66  #434443
478  1.67  #434444
479  1.68  #444443
480  1.69  #444444
481  1.7  #444445
482  1.71  #454444
483  1.72  #454445
484  1.75  #444544
485  1.76  #444545
486  1.77  #454544
487  1.78  #454545
488  1.79  #454546
489  1.8  #464545
490  1.81  #464546
491  1.85  #454645
492  1.86  #454646
493  1.87  #464645
494  1.88  #464646
495  1.9  #464647
496  1.91  #474646
497  1.92  #474647
498  1.96  #464746
499  1.97  #464747
500  1.99  #474746
501  2.0  #474747
502  2.01  #474748
503  2.02  #484747
504  2.03  #484748
505  2.07  #474847
506  2.08  #474848
507  2.1  #484847
508  2.11  #484848
509  2.12  #484849
510  2.14  #494848
511  2.15  #494849
512  2.19  #484948
513  2.2  #484949
514  2.22  #494948
515  2.23  #494949
516  2.23  #49494a
517  2.23  #4a4949
518  2.23  #4a494a
519  2.23  #494a49
520  2.23  #494a4a
521  2.23  #4a4a49
522  2.23  #4a4a4a
523  2.25  #4a4a4b
524  2.26  #4b4a4a
525  2.28  #4b4a4b
526  2.32  #4a4b4a
527  2.34  #4a4b4b
528  2.35  #4b4b4a
529  2.37  #4b4b4b
530  2.38  #4b4b4c
531  2.4  #4c4b4b
532  2.41  #4c4b4c
533  2.46  #4b4c4b
534  2.48  #4b4c4c
535  2.49  #4c4c4b
536  2.51  #4c4c4c
537  2.52  #4c4c4d
538  2.54  #4d4c4c
539  2.55  #4d4c4d
540  2.6  #4c4d4c
541  2.62  #4c4d4d
542  2.64  #4d4d4c
543  2.65  #4d4d4d
544  2.67  #4d4d4e
545  2.7  #4e4d4d
546  2.71  #4e4d4e
547  2.75  #4d4e4d
548  2.77  #4d4e4e
549  2.8  #4e4e4d
550  2.82  #4e4e4e
551  2.83  #4e4e4f
552  2.85  #4f4e4e
553  2.87  #4f4e4f
554  2.93  #4e4f4e
555  2.94  #4e4f4f
556  2.96  #4f4f4e
557  2.97  #4f4f4f
558  2.99  #4f4f50
559  3.01  #504f4f
560  3.03  #504f50
561  3.09  #4f504f
562  3.11  #4f5050
563  3.13  #50504f
564  3.15  #505050
565  3.17  #505051
566  3.19  #515050
567  3.21  #515051
568  3.27  #505150
569  3.29  #505151
570  3.31  #515150
571  3.33  #515151
572  3.35  #515152
573  3.38  #525151
574  3.4  #525152
575  3.47  #515251
576  3.49  #515252
577  3.51  #525251
578  3.53  #525252
579  3.56  #525253
580  3.58  #535252
581  3.6  #535253
582  3.67  #525352
583  3.69  #525353
584  3.72  #535352
585  3.74  #535353
586  3.77  #535354
587  3.79  #545353
588  3.82  #545354
589  3.88  #535453
590  3.91  #535454
591  3.93  #545453
592  3.96  #545454
593  3.96  #545455
594  3.96  #555454
595  3.96  #555455
596  3.96  #545554
597  3.96  #545555
598  3.96  #555554
599  3.96  #555555
600  3.99  #555556
601  4.02  #565555
602  4.05  #565556
603  4.1  #555655
604  4.13  #555656
605  4.17  #565655
606  4.19  #565656
607  4.21  #565657
608  4.25  #575656
609  4.27  #575657
610  4.35  #565756
611  4.37  #565757
612  4.4  #575756
613  4.42  #575757
614  4.45  #575758
615  4.47  #585757
616  4.5  #585758
617  4.58  #575857
618  4.6  #575858
619  4.63  #585857
620  4.66  #585858
621  4.69  #585859
622  4.71  #595858
623  4.74  #595859
624  4.81  #585958
625  4.84  #585959
626  4.87  #595958
627  4.9  #595959
628  4.92  #59595a
629  4.95  #5a5959
630  4.98  #5a595a
631  5.05  #595a59
632  5.08  #595a5a
633  5.11  #5a5a59
634  5.14  #5a5a5a
635  5.16  #5a5a5b
636  5.19  #5b5a5a
637  5.22  #5b5a5b
638  5.29  #5a5b5a
639  5.32  #5a5b5b
640  5.35  #5b5b5a
641  5.37  #5b5b5b
642  5.4  #5b5b5c
643  5.43  #5c5b5b
644  5.46  #5c5b5c
645  5.54  #5b5c5b
646  5.57  #5b5c5c
647  5.61  #5c5c5b
648  5.63  #5c5c5c
649  5.66  #5c5c5d
650  5.71  #5d5c5c
651  5.74  #5d5c5d
652  5.8  #5c5d5c
653  5.83  #5c5d5d
654  5.88  #5d5d5c
655  5.91  #5d5d5d
656  5.93  #5d5d5e
657  5.97  #5e5d5d
658  6.0  #5e5d5e
659  6.09  #5d5e5d
660  6.11  #5d5e5e
661  6.15  #5e5e5d
662  6.18  #5e5e5e
663  6.2  #5e5e5f
664  6.24  #5f5e5e
665  6.27  #5f5e5f
666  6.36  #5e5f5e
667  6.39  #5e5f5f
668  6.42  #5f5f5e
669  6.45  #5f5f5f
670  6.48  #5f5f60
671  6.52  #605f5f
672  6.55  #605f60
673  6.64  #5f605f
674  6.67  #5f6060
675  6.71  #60605f
676  6.74  #606060
677  6.77  #606061
678  6.81  #616060
679  6.84  #616061
680  6.94  #606160
681  6.97  #606161
682  7.01  #616160
683  7.04  #616161
684  7.07  #616162
685  7.11  #626161
686  7.14  #626162
687  7.25  #616261
688  7.28  #616262
689  7.32  #626261
690  7.35  #626262
691  7.39  #626263
692  7.45  #636262
693  7.48  #636263
694  7.55  #626362
695  7.59  #626363
696  7.65  #636362
697  7.68  #636363
698  7.71  #636364
699  7.75  #646363
700  7.78  #646364
701  7.89  #636463
702  7.92  #636464
703  7.97  #646463
704  7.99  #646464
705  8.03  #646465
706  8.06  #656464
707  8.1  #656465
708  8.2  #646564
709  8.24  #646565
710  8.28  #656564
711  8.32  #656565
712  8.35  #656566
713  8.39  #666565
714  8.43  #666566
715  8.53  #656665
716  8.57  #656666
717  8.61  #666665
718  8.65  #666666
719  8.69  #666667
720  8.73  #676666
721  8.77  #676667
722  8.87  #666766
723  8.91  #666767
724  8.95  #676766
725  8.99  #676767
726  9.03  #676768
727  9.07  #686767
728  9.11  #686768
729  9.22  #676867
730  9.25  #676868
731  9.3  #686867
732  9.34  #686868
733  9.38  #686869
734  9.42  #696868
735  9.46  #696869
736  9.57  #686968
737  9.61  #686969
738  9.65  #696968
739  9.69  #696969
740  9.73  #69696a
741  9.8  #6a6969
742  9.83  #6a696a
743  9.93  #696a69
744  9.97  #696a6a
745  10.04  #6a6a69
746  10.08  #6a6a6a
747  10.11  #6a6a6b
748  10.16  #6b6a6a
749  10.2  #6b6a6b
750  10.32  #6a6b6a
751  10.36  #6a6b6b
752  10.41  #6b6b6a
753  10.44  #6b6b6b
754  10.48  #6b6b6c
755  10.53  #6c6b6b
756  10.57  #6c6b6c
757  10.69  #6b6c6b
758  10.73  #6b6c6c
759  10.78  #6c6c6b
760  10.82  #6c6c6c
761  10.87  #6c6c6d
762  10.92  #6d6c6c
763  10.95  #6d6c6d
764  11.08  #6c6d6c
765  11.12  #6c6d6d
766  11.17  #6d6d6c
767  11.21  #6d6d6d
768  11.25  #6d6d6e
769  11.3  #6e6d6d
770  11.35  #6e6d6e
771  11.47  #6d6e6d
772  11.51  #6d6e6e
773  11.57  #6e6e6d
774  11.61  #6e6e6e
775  11.65  #6e6e6f
776  11.7  #6f6e6e
777  11.75  #6f6e6f
778  11.88  #6e6f6e
779  11.92  #6e6f6f
780  11.97  #6f6f6e
781  12.01  #6f6f6f
782  12.06  #6f6f70
783  12.11  #706f6f
784  12.16  #706f70
785  12.29  #6f706f
786  12.33  #6f7070
787  12.39  #70706f
788  12.43  #707070
789  12.48  #707071
790  12.55  #717070
791  12.6  #717071
792  12.7  #707170
793  12.75  #707171
794  12.83  #717170
795  12.87  #717171
796  12.91  #717172
797  12.97  #727171
798  13.01  #727172
799  13.16  #717271
800  13.19  #717272
801  13.26  #727271
802  13.29  #727272
803  13.34  #727273
804  13.39  #737272
805  13.44  #737273
806  13.58  #727372
807  13.63  #727373
808  13.68  #737372
809  13.73  #737373
810  13.78  #737374
811  13.84  #747373
812  13.89  #747374
813  14.03  #737473
814  14.08  #737474
815  14.13  #747473
816  14.18  #747474
817  14.23  #747475
818  14.29  #757474
819  14.33  #757475
820  14.48  #747574
821  14.53  #747575
822  14.59  #757574
823  14.64  #757575
824  14.69  #757576
825  14.75  #767575
826  14.8  #767576
827  14.94  #757675
828  15.0  #757676
829  15.05  #767675
830  15.1  #767676
831  15.15  #767677
832  15.24  #777676
833  15.29  #777677
834  15.41  #767776
835  15.46  #767777
836  15.55  #777776
837  15.6  #777777
838  15.64  #777778
839  15.71  #787777
840  15.75  #787778
841  15.9  #777877
842  15.9  #777878
843  16.0  #787877
844  16.0  #787878
845  16.1  #787879
846  16.1  #797878
847  16.2  #797879
848  16.4  #787978
849  16.4  #787979
850  16.5  #797978
851  16.5  #797979
852  16.6  #79797a
853  16.7  #7a7979
854  16.7  #7a797a
855  16.9  #797a79
856  17.0  #797a7a
857  17.0  #7a7a79
858  17.1  #7a7a7a
859  17.1  #7a7a7b
860  17.2  #7b7a7a
861  17.3  #7b7a7b
862  17.4  #7a7b7a
863  17.5  #7a7b7b
864  17.6  #7b7b7a
865  17.6  #7b7b7b
866  17.7  #7b7b7c
867  17.8  #7c7b7b
868  17.8  #7c7b7c
869  18.0  #7b7c7b
870  18.0  #7b7c7c
871  18.1  #7c7c7b
872  18.2  #7c7c7c
873  18.3  #7c7c7d
874  18.3  #7d7c7c
875  18.4  #7d7c7d
876  18.6  #7c7d7c
877  18.6  #7c7d7d
878  18.7  #7d7d7c
879  18.7  #7d7d7d
880  18.8  #7d7d7e
881  18.9  #7e7d7d
882  19.0  #7e7d7e
883  19.1  #7d7e7d
884  19.2  #7d7e7e
885  19.3  #7e7e7d
886  19.3  #7e7e7e
887  19.4  #7e7e7f
888  19.5  #7f7e7e
889  19.5  #7f7e7f
890  19.7  #7e7f7e
891  19.8  #7e7f7f
892  19.9  #7f7f7e
893  19.9  #7f7f7f
894  20.0  #7f7f80
895  20.1  #807f7f
896  20.1  #807f80
897  20.3  #7f807f
898  20.4  #7f8080
899  20.5  #80807f
900  20.5  #808080
901  20.6  #808081
902  20.7  #818080
903  20.7  #818081
904  20.9  #808180
905  21.0  #808181
906  21.1  #818180
907  21.1  #818181
908  21.2  #818182
909  21.3  #828181
910  21.3  #828182
911  21.5  #818281
912  21.6  #818282
913  21.7  #828281
914  21.7  #828282
915  21.9  #828283
916  22.0  #838282
917  22.2  #838283
918  22.5  #828382
919  22.7  #828383
920  22.9  #838382
921  23.0  #838383
922  23.0  #838384
923  23.2  #848383
924  23.2  #848384
925  23.4  #838483
926  23.5  #838484
927  23.6  #848483
928  23.7  #848484
929  23.7  #848485
930  23.8  #858484
931  23.9  #858485
932  23.8  #848584
933  23.9  #848585
934  24.0  #858584
935  24.0  #858585
936  24.1  #858586
937  24.2  #868585
938  24.2  #868586
939  24.5  #858685
940  24.5  #858686
941  24.6  #868685
942  24.7  #868686
943  24.7  #868687
944  24.8  #878686
945  24.9  #878687
946  25.1  #868786
947  25.2  #868787
948  25.2  #878786
949  25.3  #878787
950  25.4  #878788
951  25.5  #888787
952  25.5  #888788
953  25.8  #878887
954  25.8  #878888
955  25.9  #888887
956  26.0  #888888
957  26.0  #888889
958  26.1  #898888
959  26.2  #898889
960  26.4  #888988
961  26.5  #888989
962  26.6  #898988
963  26.6  #898989
964  26.7  #89898a
965  26.8  #8a8989
966  26.9  #8a898a
967  27.1  #898a89
968  27.2  #898a8a
969  27.3  #8a8a89
970  27.4  #8a8a8a
971  27.4  #8a8a8b
972  27.5  #8b8a8a
973  27.6  #8b8a8b
974  27.8  #8a8b8a
975  27.9  #8a8b8b
976  28.0  #8b8b8a
977  28.0  #8b8b8b
978  28.1  #8b8b8c
979  28.2  #8c8b8b
980  28.3  #8c8b8c
981  28.5  #8b8c8b
982  28.6  #8b8c8c
983  28.7  #8c8c8b
984  28.8  #8c8c8c
985  28.8  #8c8c8d
986  28.9  #8d8c8c
987  29.0  #8d8c8d
988  29.3  #8c8d8c
989  29.3  #8c8d8d
990  29.4  #8d8d8c
991  29.5  #8d8d8d
992  29.6  #8d8d8e
993  29.7  #8e8d8d
994  29.7  #8e8d8e
995  30.0  #8d8e8d
996  30.0  #8d8e8e
997  30.2  #8e8e8d
998  30.2  #8e8e8e
999  30.4  #8e8e8f
1000  30.6  #8f8e8e
1001  30.7  #8f8e8f
1002  31.2  #8e8f8e
1003  31.3  #8e8f8f
1004  31.5  #8f8f8e
1005  31.7  #8f8f8f
1006  31.8  #8f8f90
1007  31.9  #908f8f
1008  32.0  #908f90
1009  32.2  #8f908f
1010  32.3  #8f9090
1011  32.4  #90908f
1012  32.5  #909090
1013  32.6  #909091
1014  32.7  #919090
1015  32.8  #919091
1016  33.0  #909190
1017  33.1  #909191
1018  33.2  #919190
1019  33.3  #919191
1020  33.4  #919192
1021  33.5  #929191
1022  33.5  #929192
1023  33.8  #919291
1024  33.9  #919292
1025  34.0  #929291
1026  34.1  #929292
1027  34.1  #929293
1028  34.2  #939292
1029  34.3  #939293
1030  34.6  #929392
1031  34.7  #929393
1032  34.8  #939392
1033  34.9  #939393
1034  34.9  #939394
1035  35.0  #949393
1036  35.1  #949394
1037  35.4  #939493
1038  35.5  #939494
1039  35.6  #949493
1040  35.7  #949494
1041  35.8  #949495
1042  35.9  #959494
1043  36.0  #959495
1044  36.2  #949594
1045  36.3  #949595
1046  36.4  #959594
1047  36.5  #959595
1048  36.6  #959596
1049  36.8  #969595
1050  36.9  #969596
1051  37.0  #959695
1052  37.1  #959696
1053  37.3  #969695
1054  37.4  #969696
1055  37.5  #969697
1056  37.6  #979696
1057  37.7  #979697
1058  38.0  #969796
1059  38.1  #969797
1060  38.2  #979796
1061  38.3  #979797
1062  38.3  #979798
1063  38.5  #989797
1064  38.5  #989798
1065  38.8  #979897
1066  38.9  #979898
1067  39.0  #989897
1068  39.1  #989898
1069  39.2  #989899
1070  39.5  #999898
1071  39.6  #999899
1072  40.3  #989998
1073  40.4  #989999
1074  40.7  #999998
1075  40.8  #999999
1076  40.9  #99999a
1077  41.0  #9a9999
1078  41.1  #9a999a
1079  41.4  #999a99
1080  41.5  #999a9a
1081  41.6  #9a9a99
1082  41.7  #9a9a9a
1083  41.8  #9a9a9b
1084  41.9  #9b9a9a
1085  42.0  #9b9a9b
1086  42.3  #9a9b9a
1087  42.4  #9a9b9b
1088  42.5  #9b9b9a
1089  42.6  #9b9b9b
1090  42.7  #9b9b9c
1091  42.9  #9c9b9b
1092  43.0  #9c9b9c
1093  43.2  #9b9c9b
1094  43.3  #9b9c9c
1095  43.5  #9c9c9b
1096  43.6  #9c9c9c
1097  43.7  #9c9c9d
1098  43.8  #9d9c9c
1099  43.9  #9d9c9d
1100  44.2  #9c9d9c
1101  44.3  #9c9d9d
1102  44.4  #9d9d9c
1103  44.5  #9d9d9d
1104  44.6  #9d9d9e
1105  44.7  #9e9d9d
1106  44.8  #9e9d9e
1107  45.1  #9d9e9d
1108  45.2  #9d9e9e
1109  45.4  #9e9e9d
1110  45.5  #9e9e9e
1111  45.6  #9e9e9f
1112  45.7  #9f9e9e
1113  45.8  #9f9e9f
1114  46.1  #9e9f9e
1115  46.2  #9e9f9f
1116  46.4  #9f9f9e
1117  46.4  #9f9f9f
1118  46.6  #9f9fa0
1119  46.7  #a09f9f
1120  46.8  #a09fa0
1121  47.1  #9fa09f
1122  47.2  #9fa0a0
1123  47.3  #a0a09f
1124  47.5  #a0a0a0
1125  47.7  #a0a0a1
1126  47.9  #a1a0a0
1127  48.1  #a1a0a1
1128  48.8  #a0a1a0
1129  49.0  #a0a1a1
1130  49.3  #a1a1a0
1131  49.5  #a1a1a1
1132  49.6  #a1a1a2
1133  49.8  #a2a1a1
1134  49.9  #a2a1a2
1135  50.2  #a1a2a1
1136  50.3  #a1a2a2
1137  50.4  #a2a2a1
1138  50.6  #a2a2a2
1139  50.6  #a2a2a3
1140  50.8  #a3a2a2
1141  50.9  #a3a2a3
1142  51.2  #a2a3a2
1143  51.3  #a2a3a3
1144  51.5  #a3a3a2
1145  51.6  #a3a3a3
1146  51.6  #a3a3a4
1147  51.7  #a4a3a3
1148  51.7  #a4a3a4
1149  51.9  #a3a4a3
1150  52.4  #a3a4a4
1151  52.5  #a4a4a3
1152  52.6  #a4a4a4
1153  52.8  #a4a4a5
1154  52.9  #a5a4a4
1155  53.0  #a5a4a5
1156  53.3  #a4a5a4
1157  53.4  #a4a5a5
1158  53.6  #a5a5a4
1159  53.7  #a5a5a5
1160  53.8  #a5a5a6
1161  54.0  #a6a5a5
1162  54.1  #a6a5a6
1163  54.4  #a5a6a5
1164  54.5  #a5a6a6
1165  54.6  #a6a6a5
1166  54.8  #a6a6a6
1167  54.9  #a6a6a7
1168  55.0  #a7a6a6
1169  55.1  #a7a6a7
1170  55.5  #a6a7a6
1171  55.6  #a6a7a7
1172  55.8  #a7a7a6
1173  55.8  #a7a7a7
1174  56.1  #a7a7a8
1175  56.4  #a8a7a7
1176  56.7  #a8a7a8
1177  57.3  #a7a8a7
1178  57.5  #a7a8a8
