#  lumResponse vers. 1.5b - 05/07/03
#  Display ID: DELL_1900FP_AAJN
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
151  0.28  #151515
152  0.28  #151516
153  0.28  #161515
154  0.28  #161516
155  0.28  #151615
156  0.28  #151616
157  0.28  #161615
158  0.28  #161616
159  0.282  #161617
160  0.282  #171616
161  0.284  #171617
162  0.288  #161716
163  0.29  #161717
164  0.29  #171716
165  0.292  #171717
166  0.294  #171718
167  0.294  #181717
168  0.297  #181718
169  0.302  #171817
170  0.304  #171818
171  0.304  #181817
172  0.306  #181818
173  0.306  #181819
174  0.306  #191818
175  0.306  #191819
176  0.306  #181918
177  0.306  #181919
178  0.306  #191918
179  0.306  #191919
180  0.309  #19191a
181  0.309  #1a1919
182  0.311  #1a191a
183  0.317  #191a19
184  0.319  #191a1a
185  0.319  #1a1a19
186  0.322  #1a1a1a
187  0.322  #1a1a1b
188  0.322  #1b1a1a
189  0.322  #1b1a1b
190  0.322  #1a1b1a
191  0.322  #1a1b1b
192  0.322  #1b1b1a
193  0.322  #1b1b1b
194  0.325  #1b1b1c
195  0.326  #1c1b1b
196  0.328  #1c1b1c
197  0.334  #1b1c1b
198  0.337  #1b1c1c
199  0.338  #1c1c1b
200  0.341  #1c1c1c
201  0.343  #1c1c1d
202  0.344  #1d1c1c
203  0.346  #1d1c1d
204  0.354  #1c1d1c
205  0.356  #1c1d1d
206  0.357  #1d1d1c
207  0.36  #1d1d1d
208  0.36  #1d1d1e
209  0.36  #1e1d1d
210  0.36  #1e1d1e
211  0.36  #1d1e1d
212  0.36  #1d1e1e
213  0.36  #1e1e1d
214  0.36  #1e1e1e
215  0.363  #1e1e1f
216  0.364  #1f1e1e
217  0.367  #1f1e1f
218  0.374  #1e1f1e
219  0.378  #1e1f1f
220  0.378  #1f1f1e
221  0.382  #1f1f1f
222  0.385  #1f1f20
223  0.386  #201f1f
224  0.39  #201f20
225  0.398  #1f201f
226  0.402  #1f2020
227  0.403  #20201f
228  0.406  #202020
229  0.41  #202021
230  0.411  #212020
231  0.415  #212021
232  0.425  #202120
233  0.429  #202121
234  0.429  #212120
235  0.433  #212121
236  0.434  #212122
237  0.434  #222121
238  0.433  #222122
239  0.433  #212221
240  0.434  #212222
241  0.433  #222221
242  0.433  #222222
243  0.438  #222223
244  0.438  #232222
245  0.443  #232223
246  0.453  #222322
247  0.458  #222323
248  0.458  #232322
249  0.463  #232323
250  0.468  #232324
251  0.469  #242323
252  0.474  #242324
253  0.485  #232423
254  0.49  #232424
255  0.491  #242423
256  0.496  #242424
257  0.496  #242425
258  0.496  #252424
259  0.496  #252425
260  0.496  #242524
261  0.496  #242525
262  0.496  #252524
263  0.496  #252525
264  0.502  #252526
265  0.505  #262525
266  0.51  #262526
267  0.52  #252625
268  0.525  #252626
269  0.529  #262625
270  0.534  #262626
271  0.538  #262627
272  0.541  #272626
273  0.545  #272627
274  0.56  #262726
275  0.564  #262727
276  0.567  #272726
277  0.571  #272727
278  0.578  #272728
279  0.579  #282727
280  0.586  #282728
281  0.6  #272827
282  0.607  #272828
283  0.609  #282827
284  0.614  #282828
285  0.615  #282829
286  0.615  #292828
287  0.615  #292829
288  0.615  #282928
289  0.615  #282929
290  0.615  #292928
291  0.615  #292929
292  0.622  #29292a
293  0.624  #2a2929
294  0.631  #2a292a
295  0.646  #292a29
296  0.653  #292a2a
297  0.655  #2a2a29
298  0.662  #2a2a2a
299  0.67  #2a2a2b
300  0.672  #2b2a2a
301  0.679  #2b2a2b
302  0.697  #2a2b2a
303  0.705  #2a2b2b
304  0.707  #2b2b2a
305  0.715  #2b2b2b
306  0.723  #2b2b2c
307  0.725  #2c2b2b
308  0.734  #2c2b2c
309  0.754  #2b2c2b
310  0.763  #2b2c2c
311  0.765  #2c2c2b
312  0.774  #2c2c2c
313  0.774  #2c2c2d
314  0.774  #2d2c2c
315  0.774  #2d2c2d
316  0.774  #2c2d2c
317  0.774  #2c2d2d
318  0.774  #2d2d2c
319  0.774  #2d2d2d
320  0.783  #2d2d2e
321  0.786  #2e2d2d
322  0.795  #2e2d2e
323  0.819  #2d2e2d
324  0.829  #2d2e2e
325  0.831  #2e2e2d
326  0.84  #2e2e2e
327  0.851  #2e2e2f
328  0.857  #2f2e2e
329  0.867  #2f2e2f
330  0.887  #2e2f2e
331  0.898  #2e2f2f
332  0.904  #2f2f2e
333  0.914  #2f2f2f
334  0.922  #2f2f30
335  0.929  #302f2f
336  0.937  #302f30
337  0.966  #2f302f
338  0.975  #2f3030
339  0.981  #30302f
340  0.99  #303030
341  0.99  #303031
342  0.99  #313030
343  0.99  #313031
344  0.99  #303130
345  0.991  #303131
346  0.991  #313130
347  0.99  #313131
348  1.003  #313132
349  1.008  #323131
350  1.02  #323132
351  1.049  #313231
352  1.061  #313232
353  1.066  #323231
354  1.079  #323232
355  1.09  #323233
356  1.096  #333232
357  1.107  #333233
358  1.142  #323332
359  1.154  #323333
360  1.16  #333332
361  1.172  #333333
362  1.184  #333334
363  1.192  #343333
364  1.204  #343334
365  1.227  #333433
366  1.239  #333434
367  1.248  #343433
368  1.26  #343434
369  1.272  #343435
370  1.282  #353434
371  1.294  #353435
372  1.323  #343534
373  1.336  #343535
374  1.346  #353534
375  1.359  #353535
376  1.359  #353536
377  1.359  #363535
378  1.36  #363536
379  1.36  #353635
380  1.361  #353636
381  1.361  #363635
382  1.361  #363636
383  1.374  #363637
384  1.389  #373636
385  1.403  #373637
386  1.425  #363736
387  1.438  #363737
388  1.454  #373736
389  1.468  #373737
390  1.478  #373738
391  1.489  #383737
392  1.5  #383738
393  1.538  #373837
394  1.549  #373838
395  1.56  #383837
396  1.571  #383838
397  1.58  #383839
398  1.59  #393838
399  1.6  #393839
400  1.64  #383938
401  1.65  #383939
402  1.66  #393938
403  1.68  #393939
404  1.69  #39393a
405  1.7  #3a3939
406  1.72  #3a393a
407  1.76  #393a39
408  1.77  #393a3a
409  1.78  #3a3a39
410  1.8  #3a3a3a
411  1.8  #3a3a3b
412  1.8  #3b3a3a
413  1.8  #3b3a3b
414  1.8  #3a3b3a
415  1.8  #3a3b3b
416  1.8  #3b3b3a
417  1.8  #3b3b3b
418  1.81  #3b3b3c
419  1.82  #3c3b3b
420  1.84  #3c3b3c
421  1.88  #3b3c3b
422  1.9  #3b3c3c
423  1.91  #3c3c3b
424  1.93  #3c3c3c
425  1.94  #3c3c3d
426  1.95  #3d3c3c
427  1.97  #3d3c3d
428  2.02  #3c3d3c
429  2.03  #3c3d3d
430  2.04  #3d3d3c
431  2.06  #3d3d3d
432  2.08  #3d3d3e
433  2.09  #3e3d3d
434  2.11  #3e3d3e
435  2.15  #3d3e3d
436  2.17  #3d3e3e
437  2.18  #3e3e3d
438  2.2  #3e3e3e
439  2.22  #3e3e3f
440  2.24  #3f3e3e
441  2.26  #3f3e3f
442  2.3  #3e3f3e
443  2.32  #3e3f3f
444  2.35  #3f3f3e
445  2.36  #3f3f3f
446  2.38  #3f3f40
447  2.4  #403f3f
448  2.41  #403f40
449  2.47  #3f403f
450  2.49  #3f4040
451  2.51  #40403f
452  2.52  #404040
453  2.55  #404041
454  2.56  #414040
455  2.58  #414041
456  2.64  #404140
457  2.66  #404141
458  2.68  #414140
459  2.7  #414141
460  2.7  #414142
461  2.7  #424141
462  2.7  #424142
463  2.7  #414241
464  2.7  #414242
465  2.7  #424241
466  2.7  #424242
467  2.73  #424243
468  2.74  #434242
469  2.76  #434243
470  2.82  #424342
471  2.85  #424343
472  2.86  #434342
473  2.89  #434343
474  2.91  #434344
475  2.93  #444343
476  2.95  #444344
477  3.02  #434443
478  3.04  #434444
479  3.06  #444443
480  3.09  #444444
481  3.11  #444445
482  3.13  #454444
483  3.16  #454445
484  3.22  #444544
485  3.25  #444545
486  3.26  #454544
487  3.29  #454545
488  3.32  #454546
489  3.33  #464545
490  3.36  #464546
491  3.43  #454645
492  3.46  #454646
493  3.48  #464645
494  3.5  #464646
495  3.53  #464647
496  3.56  #474646
497  3.59  #474647
498  3.65  #464746
499  3.68  #464747
500  3.71  #474746
501  3.74  #474747
502  3.77  #474748
503  3.79  #484747
504  3.81  #484748
505  3.9  #474847
506  3.92  #474848
507  3.95  #484847
508  3.97  #484848
509  4.0  #484849
510  4.02  #494848
511  4.05  #494849
512  4.12  #484948
513  4.16  #484949
514  4.18  #494948
515  4.21  #494949
516  4.21  #49494a
517  4.21  #4a4949
518  4.21  #4a494a
519  4.21  #494a49
520  4.21  #494a4a
521  4.22  #4a4a49
522  4.21  #4a4a4a
523  4.25  #4a4a4b
524  4.27  #4b4a4a
525  4.31  #4b4a4b
526  4.39  #4a4b4a
527  4.42  #4a4b4b
528  4.44  #4b4b4a
529  4.48  #4b4b4b
530  4.51  #4b4b4c
531  4.53  #4c4b4b
532  4.56  #4c4b4c
533  4.65  #4b4c4b
534  4.68  #4b4c4c
535  4.7  #4c4c4b
536  4.74  #4c4c4c
537  4.77  #4c4c4d
538  4.8  #4d4c4c
539  4.83  #4d4c4d
540  4.91  #4c4d4c
541  4.95  #4c4d4d
542  4.98  #4d4d4c
543  5.01  #4d4d4d
544  5.04  #4d4d4e
545  5.09  #4e4d4d
546  5.12  #4e4d4e
547  5.19  #4d4e4d
548  5.23  #4d4e4e
549  5.27  #4e4e4d
550  5.3  #4e4e4e
551  5.33  #4e4e4f
552  5.37  #4f4e4e
553  5.39  #4f4e4f
554  5.49  #4e4f4e
555  5.52  #4e4f4f
556  5.56  #4f4f4e
557  5.58  #4f4f4f
558  5.62  #4f4f50
559  5.65  #504f4f
560  5.69  #504f50
561  5.78  #4f504f
562  5.82  #4f5050
563  5.84  #50504f
564  5.88  #505050
565  5.92  #505051
566  5.95  #515050
567  5.99  #515051
568  6.1  #505150
569  6.14  #505151
570  6.17  #515150
571  6.21  #515151
572  6.25  #515152
573  6.28  #525151
574  6.32  #525152
575  6.41  #515251
576  6.45  #515252
577  6.48  #525251
578  6.52  #525252
579  6.57  #525253
580  6.6  #535252
581  6.64  #535253
582  6.74  #525352
583  6.79  #525353
584  6.82  #535352
585  6.86  #535353
586  6.9  #535354
587  6.93  #545353
588  6.98  #545354
589  7.09  #535453
590  7.13  #535454
591  7.16  #545453
592  7.2  #545454
593  7.2  #545455
594  7.21  #555454
595  7.21  #555455
596  7.21  #545554
597  7.21  #545555
598  7.21  #555554
599  7.21  #555555
600  7.25  #555556
601  7.31  #565555
602  7.35  #565556
603  7.44  #555655
604  7.48  #555656
605  7.54  #565655
606  7.58  #565656
607  7.61  #565657
608  7.66  #575656
609  7.69  #575657
610  7.81  #565756
611  7.84  #565757
612  7.89  #575756
613  7.92  #575757
614  7.97  #575758
615  8.0  #585757
616  8.05  #585758
617  8.17  #575857
618  8.22  #575858
619  8.25  #585857
620  8.3  #585858
621  8.34  #585859
622  8.38  #595858
623  8.42  #595859
624  8.52  #585958
625  8.56  #585959
626  8.6  #595958
627  8.65  #595959
628  8.69  #59595a
629  8.73  #5a5959
630  8.78  #5a595a
631  8.88  #595a59
632  8.92  #595a5a
633  8.96  #5a5a59
634  9.01  #5a5a5a
635  9.05  #5a5a5b
636  9.09  #5b5a5a
637  9.13  #5b5a5b
638  9.25  #5a5b5a
639  9.29  #5a5b5b
640  9.32  #5b5b5a
641  9.37  #5b5b5b
642  9.41  #5b5b5c
643  9.45  #5c5b5b
644  9.5  #5c5b5c
645  9.61  #5b5c5b
646  9.66  #5b5c5c
647  9.69  #5c5c5b
648  9.74  #5c5c5c
649  9.79  #5c5c5d
650  9.84  #5d5c5c
651  9.89  #5d5c5d
652  9.99  #5c5d5c
653  10.03  #5c5d5d
654  10.09  #5d5d5c
655  10.14  #5d5d5d
656  10.17  #5d5d5e
657  10.22  #5e5d5d
658  10.26  #5e5d5e
659  10.4  #5d5e5d
660  10.44  #5d5e5e
661  10.49  #5e5e5d
662  10.52  #5e5e5e
663  10.57  #5e5e5f
664  10.61  #5f5e5e
665  10.66  #5f5e5f
666  10.77  #5e5f5e
667  10.82  #5e5f5f
668  10.86  #5f5f5e
669  10.91  #5f5f5f
670  10.96  #5f5f60
671  11.01  #605f5f
672  11.06  #605f60
673  11.18  #5f605f
674  11.23  #5f6060
675  11.27  #60605f
676  11.32  #606060
677  11.37  #606061
678  11.41  #616060
679  11.47  #616061
680  11.6  #606160
681  11.65  #606161
682  11.69  #616160
683  11.74  #616161
684  11.79  #616162
685  11.83  #626161
686  11.89  #626162
687  12.02  #616261
688  12.07  #616262
689  12.11  #626261
690  12.16  #626262
691  12.22  #626263
692  12.29  #636262
693  12.34  #636263
694  12.43  #626362
695  12.48  #626363
696  12.55  #636362
697  12.6  #636363
698  12.64  #636364
699  12.69  #646363
700  12.73  #646364
701  12.89  #636463
702  12.93  #636464
703  12.98  #646463
704  13.02  #646464
705  13.07  #646465
706  13.12  #656464
707  13.17  #656465
708  13.29  #646564
709  13.34  #646565
710  13.39  #656564
711  13.44  #656565
712  13.49  #656566
713  13.54  #666565
714  13.59  #666566
715  13.72  #656665
716  13.77  #656666
717  13.82  #666665
718  13.87  #666666
719  13.93  #666667
720  13.96  #676666
721  14.02  #676667
722  14.15  #666766
723  14.21  #666767
724  14.25  #676766
725  14.31  #676767
726  14.36  #676768
727  14.41  #686767
728  14.46  #686768
729  14.6  #676867
730  14.66  #676868
731  14.7  #686867
732  14.76  #686868
733  14.82  #686869
734  14.86  #696868
735  14.92  #696869
736  15.05  #686968
737  15.1  #686969
738  15.15  #696968
739  15.2  #696969
740  15.25  #69696a
741  15.33  #6a6969
742  15.38  #6a696a
743  15.52  #696a69
744  15.57  #696a6a
745  15.64  #6a6a69
746  15.7  #6a6a6a
747  15.74  #6a6a6b
748  15.8  #6b6a6a
749  15.8  #6b6a6b
750  15.9  #6a6b6a
751  16.0  #6a6b6b
752  16.1  #6b6b6a
753  16.1  #6b6b6b
754  16.2  #6b6b6c
755  16.2  #6c6b6b
756  16.3  #6c6b6c
757  16.4  #6b6c6b
758  16.5  #6b6c6c
759  16.5  #6c6c6b
760  16.6  #6c6c6c
761  16.6  #6c6c6d
762  16.7  #6d6c6c
763  16.7  #6d6c6d
764  16.9  #6c6d6c
765  17.0  #6c6d6d
766  17.0  #6d6d6c
767  17.1  #6d6d6d
768  17.1  #6d6d6e
769  17.2  #6e6d6d
770  17.2  #6e6d6e
771  17.4  #6d6e6d
772  17.4  #6d6e6e
773  17.5  #6e6e6d
774  17.6  #6e6e6e
775  17.6  #6e6e6f
776  17.7  #6f6e6e
777  17.7  #6f6e6f
778  17.9  #6e6f6e
779  17.9  #6e6f6f
780  18.0  #6f6f6e
781  18.0  #6f6f6f
782  18.1  #6f6f70
783  18.2  #706f6f
784  18.2  #706f70
785  18.4  #6f706f
786  18.5  #6f7070
787  18.5  #70706f
788  18.6  #707070
789  18.6  #707071
790  18.7  #717070
791  18.8  #717071
792  18.9  #707170
793  19.0  #707171
794  19.0  #717170
795  19.1  #717171
796  19.2  #717172
797  19.2  #727171
798  19.3  #727172
799  19.4  #717271
800  19.5  #717272
801  19.6  #727271
802  19.6  #727272
803  19.7  #727273
804  19.7  #737272
805  19.8  #737273
806  20.0  #727372
807  20.0  #727373
808  20.1  #737372
809  20.1  #737373
810  20.2  #737374
811  20.3  #747373
812  20.3  #747374
813  20.5  #737473
814  20.6  #737474
815  20.6  #747473
816  20.7  #747474
817  20.7  #747475
818  20.8  #757474
819  20.9  #757475
820  21.0  #747574
821  21.1  #747575
822  21.1  #757574
823  21.2  #757575
824  21.3  #757576
825  21.3  #767575
826  21.4  #767576
827  21.6  #757675
828  21.6  #757676
829  21.7  #767675
830  21.8  #767676
831  21.8  #767677
832  21.9  #777676
833  22.0  #777677
834  22.1  #767776
835  22.2  #767777
836  22.3  #777776
837  22.4  #777777
838  22.4  #777778
839  22.5  #787777
840  22.5  #787778
841  22.7  #777877
842  22.8  #777878
843  22.8  #787877
844  22.9  #787878
845  23.0  #787879
846  23.0  #797878
847  23.1  #797879
848  23.3  #787978
849  23.4  #787979
850  23.4  #797978
851  23.5  #797979
852  23.6  #79797a
853  23.6  #7a7979
854  23.7  #7a797a
855  23.9  #797a79
856  23.7  #797a7a
857  23.7  #7a7a79
858  23.8  #7a7a7a
859  23.9  #7a7a7b
860  24.0  #7b7a7a
861  24.0  #7b7a7b
862  24.2  #7a7b7a
863  24.3  #7a7b7b
864  24.3  #7b7b7a
865  24.4  #7b7b7b
866  24.5  #7b7b7c
867  24.5  #7c7b7b
868  24.6  #7c7b7c
869  24.8  #7b7c7b
870  24.9  #7b7c7c
871  25.0  #7c7c7b
872  25.1  #7c7c7c
873  25.1  #7c7c7d
874  25.2  #7d7c7c
875  25.3  #7d7c7d
876  25.4  #7c7d7c
877  25.5  #7c7d7d
878  25.6  #7d7d7c
879  25.7  #7d7d7d
880  25.8  #7d7d7e
881  25.8  #7e7d7d
882  25.9  #7e7d7e
883  26.1  #7d7e7d
884  26.2  #7d7e7e
885  26.3  #7e7e7d
886  26.4  #7e7e7e
887  26.4  #7e7e7f
888  26.5  #7f7e7e
889  26.6  #7f7e7f
890  26.8  #7e7f7e
891  26.8  #7e7f7f
892  26.9  #7f7f7e
893  27.0  #7f7f7f
894  27.0  #7f7f80
895  27.1  #807f7f
896  27.2  #807f80
897  27.4  #7f807f
898  27.5  #7f8080
899  27.5  #80807f
900  27.6  #808080
901  27.7  #808081
902  27.8  #818080
903  27.9  #818081
904  28.0  #808180
905  28.1  #808181
906  28.2  #818180
907  28.3  #818181
908  28.3  #818182
909  28.4  #828181
910  28.5  #828182
911  28.7  #818281
912  28.8  #818282
913  28.9  #828281
914  29.0  #828282
915  29.1  #828283
916  29.3  #838282
917  29.4  #838283
918  29.8  #828382
919  30.0  #828383
920  30.1  #838382
921  30.3  #838383
922  30.3  #838384
923  30.5  #848383
924  30.6  #848384
925  30.7  #838483
926  30.8  #838484
927  30.9  #848483
928  31.0  #848484
929  31.0  #848485
930  31.1  #858484
931  31.2  #858485
932  31.4  #848584
933  31.5  #848585
934  31.6  #858584
935  31.6  #858585
936  31.7  #858586
937  31.8  #868585
938  31.9  #868586
939  32.1  #858685
940  32.2  #858686
941  32.2  #868685
942  32.3  #868686
943  32.4  #868687
944  32.5  #878686
945  32.6  #878687
946  32.8  #868786
947  32.9  #868787
948  33.0  #878786
949  33.0  #878787
950  33.1  #878788
951  33.2  #888787
952  33.3  #888788
953  33.5  #878887
954  33.6  #878888
955  33.6  #888887
956  33.7  #888888
957  33.8  #888889
958  33.9  #898888
959  34.0  #898889
960  34.2  #888988
961  34.3  #888989
962  34.4  #898988
963  34.4  #898989
964  34.5  #89898a
965  34.7  #8a8989
966  34.8  #8a898a
967  34.9  #898a89
968  35.0  #898a8a
969  35.1  #8a8a89
970  35.3  #8a8a8a
971  35.3  #8a8a8b
972  35.4  #8b8a8a
973  35.5  #8b8a8b
974  35.7  #8a8b8a
975  35.8  #8a8b8b
976  35.9  #8b8b8a
977  36.0  #8b8b8b
978  36.1  #8b8b8c
979  36.1  #8c8b8b
980  36.2  #8c8b8c
981  36.4  #8b8c8b
982  36.6  #8b8c8c
983  36.7  #8c8c8b
984  36.7  #8c8c8c
985  36.8  #8c8c8d
986  36.9  #8d8c8c
987  37.0  #8d8c8d
988  37.2  #8c8d8c
989  37.4  #8c8d8d
990  37.4  #8d8d8c
991  37.5  #8d8d8d
992  37.6  #8d8d8e
993  37.7  #8e8d8d
994  37.8  #8e8d8e
995  38.0  #8d8e8d
996  38.1  #8d8e8e
997  38.2  #8e8e8d
998  38.3  #8e8e8e
999  38.5  #8e8e8f
1000  38.7  #8f8e8e
1001  38.8  #8f8e8f
1002  39.3  #8e8f8e
1003  39.5  #8e8f8f
1004  39.7  #8f8f8e
1005  39.9  #8f8f8f
1006  40.0  #8f8f90
1007  40.1  #908f8f
1008  40.2  #908f90
1009  40.4  #8f908f
1010  40.5  #8f9090
1011  40.6  #90908f
1012  40.7  #909090
1013  40.8  #909091
1014  40.9  #919090
1015  41.0  #919091
1016  41.2  #909190
1017  41.3  #909191
1018  41.4  #919190
1019  41.5  #919191
1020  41.6  #919192
1021  41.7  #929191
1022  41.8  #929192
1023  42.1  #919291
1024  42.2  #919292
1025  42.3  #929291
1026  42.4  #929292
1027  42.5  #929293
1028  42.5  #939292
1029  42.7  #939293
1030  42.9  #929392
1031  43.0  #929393
1032  43.1  #939392
1033  43.2  #939393
1034  43.3  #939394
1035  43.4  #949393
1036  43.5  #949394
1037  43.8  #939493
1038  43.9  #939494
1039  44.0  #949493
1040  44.1  #949494
1041  44.2  #949495
1042  44.3  #959494
1043  44.4  #959495
1044  44.6  #949594
1045  44.7  #949595
1046  44.8  #959594
1047  44.9  #959595
1048  45.0  #959596
1049  45.1  #969595
1050  45.2  #969596
1051  45.5  #959695
1052  45.6  #959696
1053  45.7  #969695
1054  45.8  #969696
1055  45.9  #969697
1056  46.0  #979696
1057  46.1  #979697
1058  46.3  #969796
1059  46.4  #969797
1060  46.6  #979796
1061  46.7  #979797
1062  46.8  #979798
1063  46.9  #989797
1064  47.0  #989798
1065  47.3  #979897
1066  47.4  #979898
1067  47.5  #989897
1068  47.6  #989898
1069  47.8  #989899
1070  48.0  #999898
1071  48.2  #999899
1072  48.7  #989998
1073  49.0  #989999
1074  49.2  #999998
1075  49.4  #999999
1076  49.5  #99999a
1077  49.6  #9a9999
1078  49.7  #9a999a
1079  50.0  #999a99
1080  50.1  #999a9a
1081  50.2  #9a9a99
1082  50.3  #9a9a9a
1083  50.4  #9a9a9b
1084  50.5  #9b9a9a
1085  50.6  #9b9a9b
1086  50.9  #9a9b9a
1087  51.1  #9a9b9b
1088  51.2  #9b9b9a
1089  51.3  #9b9b9b
1090  51.4  #9b9b9c
1091  51.6  #9c9b9b
1092  51.7  #9c9b9c
1093  51.9  #9b9c9b
1094  52.0  #9b9c9c
1095  52.2  #9c9c9b
1096  52.3  #9c9c9c
1097  52.4  #9c9c9d
1098  52.4  #9d9c9c
1099  52.5  #9d9c9d
1100  52.5  #9c9d9c
1101  53.1  #9c9d9d
1102  53.2  #9d9d9c
1103  53.3  #9d9d9d
1104  53.5  #9d9d9e
1105  53.6  #9e9d9d
1106  53.7  #9e9d9e
1107  53.9  #9d9e9d
1108  54.1  #9d9e9e
1109  54.2  #9e9e9d
1110  54.3  #9e9e9e
1111  54.4  #9e9e9f
1112  54.5  #9f9e9e
1113  54.6  #9f9e9f
1114  55.0  #9e9f9e
1115  55.1  #9e9f9f
1116  55.2  #9f9f9e
1117  55.3  #9f9f9f
1118  55.4  #9f9fa0
1119  55.6  #a09f9f
1120  55.7  #a09fa0
1121  56.0  #9fa09f
1122  56.1  #9fa0a0
1123  56.2  #a0a09f
1124  56.3  #a0a0a0
1125  56.6  #a0a0a1
1126  56.8  #a1a0a0
1127  57.0  #a1a0a1
1128  57.7  #a0a1a0
1129  57.9  #a0a1a1
1130  58.2  #a1a1a0
1131  58.4  #a1a1a1
1132  58.5  #a1a1a2
1133  58.7  #a2a1a1
1134  58.8  #a2a1a2
1135  59.1  #a1a2a1
1136  59.2  #a1a2a2
1137  59.4  #a2a2a1
1138  59.5  #a2a2a2
1139  59.6  #a2a2a3
1140  59.7  #a3a2a2
1141  59.8  #a3a2a3
1142  60.1  #a2a3a2
1143  60.3  #a2a3a3
1144  60.4  #a3a3a2
1145  60.5  #a3a3a3
1146  60.6  #a3a3a4
1147  60.7  #a4a3a3
1148  60.9  #a4a3a4
1149  61.2  #a3a4a3
1150  61.3  #a3a4a4
1151  61.4  #a4a4a3
1152  61.5  #a4a4a4
1153  61.7  #a4a4a5
1154  61.8  #a5a4a4
1155  61.9  #a5a4a5
1156  62.2  #a4a5a4
1157  62.3  #a4a5a5
1158  62.5  #a5a5a4
1159  62.6  #a5a5a5
1160  62.7  #a5a5a6
1161  62.8  #a6a5a5
1162  63.0  #a6a5a6
1163  63.3  #a5a6a5
1164  63.4  #a5a6a6
1165  63.5  #a6a6a5
1166  63.7  #a6a6a6
1167  63.8  #a6a6a7
1168  63.9  #a7a6a6
1169  64.0  #a7a6a7
1170  64.4  #a6a7a6
1171  64.5  #a6a7a7
1172  64.6  #a7a7a6
1173  64.8  #a7a7a7
1174  65.0  #a7a7a8
1175  65.3  #a8a7a7
1176  65.6  #a8a7a8
1177  66.2  #a7a8a7
1178  66.4  #a7a8a8
